TXNAME	GENEID
XM_002177076.1	PHATRDRAFT_51357
XM_002176573.1	PHATRDRAFT_31632
XM_002176574.1	PHATRDRAFT_9123
XM_002176575.1	PHATRDRAFT_42608
XM_002177077.1	PHATRDRAFT_42609
XM_002177078.1	PHATRDRAFT_31636
XM_002176576.1	PHATRDRAFT_56484
XM_002177079.1	PHATRDRAFT_42611
XM_002176577.1	PHATRDRAFT_42612
XM_002177080.1	PHATRDRAFT_42613
XM_002177081.1	PHATRDRAFT_42614
XM_002176578.1	PHATRDRAFT_3241
XM_002177082.1	PHATRDRAFT_42616
XM_002177083.1	PHATRDRAFT_9327
XM_002177084.1	PHATRDRAFT_17324
XM_002176579.1	PHATRDRAFT_9199
XM_002176580.1	PHATRDRAFT_42619
XM_002177085.1	PHATRDRAFT_17326
XM_002177086.1	PHATRDRAFT_31649
XM_002177087.1	PHATRDRAFT_31650
XM_002177088.1	PHATRDRAFT_41659
XM_002177089.1	PHATRDRAFT_31652
XM_002176581.1	PHATRDRAFT_17332
XM_002177090.1	PHATRDRAFT_4761
XM_002177091.1	PHATRDRAFT_42624
XM_002176582.1	PHATRDRAFT_42625
XM_002177092.1	PHATRDRAFT_31657
XM_002177093.1	PHATRDRAFT_31658
XM_002176583.1	PHATRDRAFT_42626
XM_002177094.1	PHATRDRAFT_17335
XM_002176584.1	PHATRDRAFT_3851
XM_002177095.1	PHATRDRAFT_31662
XM_002176585.1	PHATRDRAFT_31663
XM_002176586.1	PHATRDRAFT_8877
XM_002177096.1	PHATRDRAFT_31665
XM_002177097.1	PHATRDRAFT_3171
XM_002176587.1	PHATRDRAFT_17344
XM_002177098.1	PHATRDRAFT_24474
XM_002176588.1	PHATRDRAFT_9278
XM_002177099.1	PHATRDRAFT_42635
XM_002176589.1	PHATRDRAFT_42636
XM_002176590.1	PHATRDRAFT_42638
XM_002176591.1	PHATRDRAFT_53961
XM_002176592.1	PHATRDRAFT_8407
XM_002177100.1	PHATRDRAFT_42642
XM_002176593.1	PHATRDRAFT_42643
XM_002177101.1	PHATRDRAFT_42644
XM_002176594.1	PHATRDRAFT_42645
XM_002177102.1	PHATRDRAFT_42646
XM_002176595.1	PHATRDRAFT_42647
XM_002176596.1	PHATRDRAFT_50650
XM_002176597.1	PHATRDRAFT_31684
XM_002177103.1	PHATRDRAFT_42649
XM_002176598.1	PHATRDRAFT_42650
XM_002177104.1	PHATRDRAFT_17362
XM_002176599.1	PHATRDRAFT_24493
XM_002176600.1	PHATRDRAFT_42653
XM_002177105.1	PHATRDRAFT_42654
XM_002177106.1	PHATRDRAFT_9639
XM_002177107.1	PHATRDRAFT_42656
XM_002176601.1	PHATRDRAFT_31693
XM_002177108.1	PHATRDRAFT_8663
XM_002176602.1	PHATRDRAFT_9197
XM_002177109.1	PHATRDRAFT_9168
XM_002177110.1	PHATRDRAFT_17372
XM_002176603.1	PHATRDRAFT_42658
XM_002177111.1	PHATRDRAFT_42659
XM_002176604.1	PHATRDRAFT_31697
XM_002177112.1	PHATRDRAFT_42660
XM_002177113.1	PHATRDRAFT_53964
XM_002177114.1	PHATRDRAFT_42663
XM_002176605.1	PHATRDRAFT_31702
XM_002176606.1	PHATRDRAFT_8755
XM_002177115.1	PHATRDRAFT_31704
XM_002177116.1	PHATRDRAFT_24514
XM_002177117.1	PHATRDRAFT_42668
XM_002177118.1	PHATRDRAFT_5889
XM_002176607.1	PHATRDRAFT_42670
XM_002176608.1	PHATRDRAFT_42671
XM_002176609.1	PHATRDRAFT_42672
XM_002177119.1	PHATRDRAFT_42673
XM_002176610.1	PHATRDRAFT_31713
XM_002176611.1	PHATRDRAFT_8658
XM_002176612.1	PHATRDRAFT_42675
XM_002176613.1	PHATRDRAFT_42676
XM_002177120.1	PHATRDRAFT_42677
XM_002176614.1	PHATRDRAFT_31718
XM_002177121.1	PHATRDRAFT_53967
XM_002177122.1	PHATRDRAFT_31720
XM_002176615.1	PHATRDRAFT_42680
XM_002177123.1	PHATRDRAFT_31722
XM_002176616.1	PHATRDRAFT_9251
XM_002177124.1	PHATRDRAFT_17401
XM_002176617.1	PHATRDRAFT_31725
XM_002177125.1	PHATRDRAFT_42683
XM_002176618.1	PHATRDRAFT_1550
XM_002177126.1	PHATRDRAFT_42685
XM_002177127.1	PHATRDRAFT_42686
XM_002176619.1	PHATRDRAFT_42687
XM_002177128.1	PHATRDRAFT_31731
XM_002176620.1	PHATRDRAFT_42688
XM_002177129.1	PHATRDRAFT_42689
XM_002177130.1	PHATRDRAFT_42690
XM_002176621.1	PHATRDRAFT_53969
XM_002177131.1	PHATRDRAFT_17408
XM_002176622.1	PHATRDRAFT_6915
XM_002177132.1	PHATRDRAFT_42694
XM_002176623.1	PHATRDRAFT_41667
XM_002177133.1	PHATRDRAFT_31740
XM_002176624.1	PHATRDRAFT_31741
XM_002177134.1	PHATRDRAFT_8976
XM_002176625.1	PHATRDRAFT_17414
XM_002177135.1	PHATRDRAFT_42697
XM_002177136.1	PHATRDRAFT_42698
XM_002176626.1	PHATRDRAFT_42699
XM_002177137.1	PHATRDRAFT_24547
XM_002176627.1	PHATRDRAFT_31748
XM_002177138.1	PHATRDRAFT_42701
XM_002176628.1	PHATRDRAFT_42702
XM_002177139.1	PHATRDRAFT_9200
XM_002176629.1	PHATRDRAFT_42704
XM_002176630.1	PHATRDRAFT_31753
XM_002176631.1	PHATRDRAFT_17427
XM_002177140.1	PHATRDRAFT_9277
XM_002176632.1	PHATRDRAFT_42708
XM_002176633.1	PHATRDRAFT_9547
XM_002177141.1	PHATRDRAFT_8720
XM_002177142.1	PHATRDRAFT_9427
XM_002177143.1	PHATRDRAFT_9490
XM_002176634.1	PHATRDRAFT_42712
XM_002177144.1	PHATRDRAFT_31763
XM_002176635.1	PHATRDRAFT_31764
XM_002177145.1	PHATRDRAFT_8686
XM_002176636.1	PHATRDRAFT_42714
XM_002176637.1	PHATRDRAFT_6927
XM_002176638.1	PHATRDRAFT_31768
XM_002176639.1	PHATRDRAFT_6258
XM_002177146.1	PHATRDRAFT_8940
XM_002176640.1	PHATRDRAFT_9011
XM_002177147.1	PHATRDRAFT_31772
XM_002177148.1	PHATRDRAFT_42720
XM_002176641.1	PHATRDRAFT_42721
XM_002177149.1	PHATRDRAFT_42722
XM_002176642.1	PHATRDRAFT_42723
XM_002177150.1	PHATRDRAFT_1784
XM_002176643.1	PHATRDRAFT_31778
XM_002176644.1	PHATRDRAFT_8717
XM_002177151.1	PHATRDRAFT_42726
XM_002176645.1	PHATRDRAFT_31781
XM_002177152.1	PHATRDRAFT_3362
XM_002176646.1	PHATRDRAFT_42728
XM_002177153.1	PHATRDRAFT_42729
XM_002176647.1	PHATRDRAFT_42730
XM_002177154.1	PHATRDRAFT_8657
XM_002176648.1	PHATRDRAFT_42732
XM_002176649.1	PHATRDRAFT_53974
XM_002176650.1	PHATRDRAFT_9255
XM_002177155.1	PHATRDRAFT_42734
XM_002177156.1	PHATRDRAFT_42735
XM_002176651.1	PHATRDRAFT_42736
XM_002176652.1	PHATRDRAFT_3527
XM_002176653.1	PHATRDRAFT_42738
XM_002176654.1	PHATRDRAFT_42739
XM_002177157.1	PHATRDRAFT_42740
XM_002176655.1	PHATRDRAFT_42741
XM_002177158.1	PHATRDRAFT_42742
XM_002176656.1	PHATRDRAFT_42743
XM_002177159.1	PHATRDRAFT_42744
XM_002176657.1	PHATRDRAFT_8917
XM_002177160.1	PHATRDRAFT_42746
XM_002176658.1	PHATRDRAFT_24610
XM_002176659.1	PHATRDRAFT_9266
XM_002176660.1	PHATRDRAFT_42749
XM_002177161.1	PHATRDRAFT_42750
XM_002176661.1	PHATRDRAFT_42751
XM_002176662.1	PHATRDRAFT_42752
XM_002176663.1	PHATRDRAFT_42753
XM_002176664.1	PHATRDRAFT_31810
XM_002177162.1	PHATRDRAFT_31811
XM_002176665.1	PHATRDRAFT_41676
XM_002176666.1	PHATRDRAFT_42754
XM_002176667.1	PHATRDRAFT_42755
XM_002177163.1	PHATRDRAFT_31815
XM_002176668.1	PHATRDRAFT_31816
XM_002177164.1	PHATRDRAFT_42756
XM_002176669.1	PHATRDRAFT_42757
XM_002177165.1	PHATRDRAFT_31819
XM_002176670.1	PHATRDRAFT_42758
XM_002177166.1	PHATRDRAFT_8772
XM_002176671.1	PHATRDRAFT_31822
XM_002177167.1	PHATRDRAFT_17487
XM_002177168.1	PHATRDRAFT_8993
XM_002176672.1	PHATRDRAFT_42762
XM_002177169.1	PHATRDRAFT_6580
XM_002176673.1	PHATRDRAFT_31827
XM_002177170.1	PHATRDRAFT_42763
XM_002176674.1	PHATRDRAFT_6934
XM_002176675.1	PHATRDRAFT_9609
XM_002177171.1	PHATRDRAFT_42765
XM_002177172.1	PHATRDRAFT_31831
XM_002177173.1	PHATRDRAFT_8670
XM_002176676.1	PHATRDRAFT_42767
XM_002177174.1	PHATRDRAFT_31834
XM_002176677.1	PHATRDRAFT_31835
XM_002177175.1	PHATRDRAFT_42768
XM_002177176.1	PHATRDRAFT_42770
XM_002176678.1	PHATRDRAFT_17495
XM_002177177.1	PHATRDRAFT_31840
XM_002177178.1	PHATRDRAFT_31841
XM_002176679.1	PHATRDRAFT_7349
XM_002176680.1	PHATRDRAFT_8945
XM_002176681.1	PHATRDRAFT_42774
XM_002177179.1	PHATRDRAFT_17504
XM_002177180.1	PHATRDRAFT_31846
XM_002176682.1	PHATRDRAFT_42776
XM_002176683.1	PHATRDRAFT_1358
XM_002176684.1	PHATRDRAFT_42778
XM_002176685.1	PHATRDRAFT_42779
XM_002177181.1	PHATRDRAFT_42781
XM_002176686.1	PHATRDRAFT_9046
XM_002177182.1	PHATRDRAFT_53980
XM_002177183.1	PHATRDRAFT_9171
XM_002177184.1	PHATRDRAFT_42786
XM_002177185.1	PHATRDRAFT_42787
XM_002176687.1	PHATRDRAFT_31861
XM_002177186.1	PHATRDRAFT_42788
XM_002176688.1	PHATRDRAFT_9475
XM_002176689.1	PHATRDRAFT_42790
XM_002176690.1	PHATRDRAFT_42791
XM_002177187.1	PHATRDRAFT_31866
XM_002176691.1	PHATRDRAFT_9147
XM_002177188.1	PHATRDRAFT_42793
XM_002176692.1	PHATRDRAFT_42794
XM_002177189.1	PHATRDRAFT_31870
XM_002176693.1	PHATRDRAFT_17519
XM_002177190.1	PHATRDRAFT_17523
XM_002177191.1	PHATRDRAFT_9233
XM_002176694.1	PHATRDRAFT_31874
XM_002177192.1	PHATRDRAFT_31875
XM_002176695.1	PHATRDRAFT_31876
XM_002177193.1	PHATRDRAFT_31877
XM_002176696.1	PHATRDRAFT_31878
XM_002177194.1	PHATRDRAFT_31879
XM_002176697.1	PHATRDRAFT_42799
XM_002177195.1	PHATRDRAFT_31881
XM_002176698.1	PHATRDRAFT_31882
XM_002177196.1	PHATRDRAFT_42800
XM_002176699.1	PHATRDRAFT_17531
XM_002177197.1	PHATRDRAFT_8747
XM_002176700.1	PHATRDRAFT_9246
XM_002176701.1	PHATRDRAFT_9601
XM_002177198.1	PHATRDRAFT_31888
XM_002177199.1	PHATRDRAFT_8859
XM_002177200.1	PHATRDRAFT_9554
XM_002176702.1	PHATRDRAFT_17545
XM_002177201.1	PHATRDRAFT_42807
XM_002176703.1	PHATRDRAFT_42808
XM_002176704.1	PHATRDRAFT_42809
XM_002176705.1	PHATRDRAFT_9020
XM_002177202.1	PHATRDRAFT_42811
XM_002177203.1	PHATRDRAFT_42812
XM_002176706.1	PHATRDRAFT_31898
XM_002176707.1	PHATRDRAFT_8996
XM_002177204.1	PHATRDRAFT_31900
XM_002177205.1	PHATRDRAFT_42815
XM_002176708.1	PHATRDRAFT_42816
XM_002176709.1	PHATRDRAFT_42817
XM_002177206.1	PHATRDRAFT_42818
XM_002177207.1	PHATRDRAFT_31906
XM_002177208.1	PHATRDRAFT_42820
XM_002176710.1	PHATRDRAFT_17555
XM_002177209.1	PHATRDRAFT_42822
XM_002176711.1	PHATRDRAFT_50671
XM_002177210.1	PHATRDRAFT_42824
XM_002177211.1	PHATRDRAFT_31912
XM_002177212.1	PHATRDRAFT_42825
XM_002176712.1	PHATRDRAFT_42826
XM_002177213.1	PHATRDRAFT_42827
XM_002176713.1	PHATRDRAFT_42828
XM_002177214.2	PHATRDRAFT_24692
XM_002177215.1	PHATRDRAFT_31918
XM_002176714.1	PHATRDRAFT_31919
XM_002177216.1	PHATRDRAFT_42830
XM_002176715.1	PHATRDRAFT_42831
XM_002177217.1	PHATRDRAFT_42832
XM_002177218.1	PHATRDRAFT_9478
XM_002177219.1	PHATRDRAFT_42834
XM_002176716.1	PHATRDRAFT_31925
XM_002176717.1	PHATRDRAFT_42835
XM_002176718.1	PHATRDRAFT_31927
XM_002177220.1	PHATRDRAFT_42836
XM_002176719.1	PHATRDRAFT_41686
XM_002177221.1	PHATRDRAFT_42838
XM_002176720.1	PHATRDRAFT_8659
XM_002177222.1	PHATRDRAFT_9035
XM_002176721.1	PHATRDRAFT_42840
XM_002177223.1	PHATRDRAFT_42841
XM_002177224.1	PHATRDRAFT_42843
XM_002176722.1	PHATRDRAFT_42844
XM_002177225.1	PHATRDRAFT_42845
XM_002177226.1	PHATRDRAFT_31939
XM_002176723.1	PHATRDRAFT_42846
